applicant_id,age_years,income_type,annual_income,employment_years,education,family_status,housing_type,occupation_type,num_children,family_size,owns_car,owns_realty,credit_history_months,existing_loan_balance,num_credit_lines,payment_status
51,37,Working,54046.08,8.9,Higher education,Single / not married,House / apartment,Laborers,0,2,1,1,106,30451.37,1,2
52,51,Working,42581.58,5.7,Secondary / secondary special,Married,With parents,Drivers,0,2,0,1,234,15294.09,6,2
53,29,Pensioner,33174.58,0.0,Lower secondary,Separated,House / apartment,Sales staff,0,2,1,0,46,0.0,2,3
54,46,Pensioner,31076.86,0.0,Secondary / secondary special,Separated,House / apartment,IT staff,0,2,0,1,132,18863.63,7,4
55,58,Pensioner,28570.99,0.0,Higher education,Married,House / apartment,Drivers,1,3,1,1,102,8652.23,1,2
56,62,Pensioner,29349.99,0.0,Higher education,Widow,With parents,Medicine staff,2,4,0,1,44,3418.9,2,3
57,23,Commercial associate,69490.37,20.6,Secondary / secondary special,Separated,House / apartment,Laborers,1,2,1,1,235,22664.02,0,2
58,35,Commercial associate,53822.8,4.4,Secondary / secondary special,Civil marriage,Municipal apartment,Sales staff,2,3,0,1,12,0.0,5,3
59,33,Working,41180.68,2.0,Higher education,Married,House / apartment,IT staff,1,2,1,1,4,16246.39,1,3
60,48,Working,71890.95,7.1,Higher education,Widow,House / apartment,Core staff,1,2,0,1,220,20358.51,2,3
61,30,Pensioner,54563.36,0.0,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,1,1,1,60,22907.3,7,3
62,67,Commercial associate,34708.29,9.9,Higher education,Civil marriage,Municipal apartment,Accountants,2,3,0,0,122,0.0,7,2
63,65,Commercial associate,33551.1,10.8,Secondary / secondary special,Married,Rented apartment,Laborers,0,2,1,1,24,35062.8,0,3
64,37,Pensioner,18619.9,0.0,Secondary / secondary special,Separated,House / apartment,Medicine staff,0,1,1,1,48,18199.75,3,3
65,40,Commercial associate,57830.94,3.6,Higher education,Widow,Rented apartment,Medicine staff,1,2,1,1,200,14677.44,4,2
66,42,Commercial associate,78811.39,6.7,Secondary / secondary special,Separated,House / apartment,Medicine staff,1,3,1,1,89,0.0,1,3
67,23,Commercial associate,72416.31,10.1,Higher education,Single / not married,House / apartment,IT staff,0,1,1,1,201,4781.72,0,1
68,64,Working,47709.49,7.1,Higher education,Married,House / apartment,Medicine staff,0,2,1,1,223,10369.33,3,3
69,59,Working,53330.73,4.4,Incomplete higher,Civil marriage,Rented apartment,Medicine staff,0,2,1,0,233,14310.9,3,3
70,37,Working,34099.64,2.3,Secondary / secondary special,Civil marriage,House / apartment,Managers,0,2,1,1,230,18770.36,2,2
71,47,Working,41155.07,14.3,Higher education,Single / not married,With parents,Core staff,1,2,1,1,100,10402.6,6,2
72,39,Working,44683.51,7.2,Higher education,Separated,House / apartment,IT staff,0,2,0,1,49,32016.84,4,3
73,32,State servant,17820.97,16.1,Higher education,Widow,Municipal apartment,Sales staff,0,2,0,0,181,10094.27,3,2
74,35,Working,26709.36,7.9,Incomplete higher,Married,Municipal apartment,Laborers,0,1,0,1,121,16960.6,0,2
75,26,Working,27335.33,14.9,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,2,1,1,36,28281.47,7,3
76,60,Working,57034.7,3.4,Secondary / secondary special,Civil marriage,With parents,Laborers,0,1,1,1,193,8047.74,4,1
77,53,Working,48864.34,3.6,Higher education,Married,With parents,Drivers,1,3,0,1,206,0.0,7,3
78,66,Pensioner,33988.4,0.0,Incomplete higher,Separated,Municipal apartment,Accountants,1,2,0,0,173,9663.26,6,3
79,21,Commercial associate,21367.25,3.2,Incomplete higher,Married,House / apartment,Laborers,0,1,0,0,113,25588.46,4,3
80,51,Pensioner,13461.05,0.0,Higher education,Married,House / apartment,Laborers,0,2,0,0,157,15460.18,2,2
81,48,Pensioner,34499.51,0.0,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,0,2,1,0,33,22753.53,2,3
82,51,Working,8000.0,7.8,Secondary / secondary special,Civil marriage,With parents,Sales staff,0,2,0,1,198,0.0,2,1
83,69,Pensioner,40001.37,0.0,Secondary / secondary special,Separated,House / apartment,Laborers,1,2,1,1,215,0.0,5,2
84,40,Working,16282.75,2.7,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,1,195,21606.83,2,3
85,27,Working,58282.68,4.0,Higher education,Separated,Rented apartment,Sales staff,1,3,1,0,106,18847.29,1,3
86,21,Working,31004.79,3.0,Secondary / secondary special,Married,Rented apartment,Laborers,1,3,0,0,145,3668.26,4,3
87,45,Pensioner,38279.26,0.0,Secondary / secondary special,Widow,House / apartment,Core staff,0,1,1,1,4,900.25,0,3
88,29,Commercial associate,127371.38,5.3,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,2,1,1,117,12676.47,0,2
89,27,Working,9197.45,2.6,Secondary / secondary special,Separated,House / apartment,Accountants,1,3,0,0,141,14115.17,6,3
90,28,Commercial associate,74602.92,4.0,Higher education,Married,House / apartment,Drivers,0,2,1,0,196,24.1,4,1
91,34,Working,16521.44,5.6,Secondary / secondary special,Separated,House / apartment,IT staff,0,2,1,1,215,13824.98,1,3
92,26,Pensioner,32182.34,0.0,Incomplete higher,Civil marriage,House / apartment,Managers,0,1,0,0,183,0.0,5,2
93,44,Working,41743.34,2.3,Secondary / secondary special,Civil marriage,House / apartment,Laborers,3,4,1,1,39,7020.47,3,3
94,53,Working,47044.07,3.5,Incomplete higher,Married,Municipal apartment,Drivers,2,4,1,1,47,0.0,7,2
95,35,Working,30640.94,4.5,Secondary / secondary special,Separated,House / apartment,Medicine staff,1,2,1,0,210,13360.94,6,3
96,27,Commercial associate,76391.36,1.7,Secondary / secondary special,Widow,House / apartment,Accountants,0,2,0,1,121,6990.95,7,3
97,49,Working,22188.36,7.9,Secondary / secondary special,Widow,House / apartment,Core staff,0,2,1,1,193,30868.93,2,2
98,25,Working,64555.79,4.7,Higher education,Widow,Rented apartment,Laborers,0,1,1,1,142,18332.17,2,2
99,57,Working,38554.31,3.5,Incomplete higher,Separated,House / apartment,Laborers,0,2,1,0,10,0.0,4,4
100,39,Student,8000.0,1.9,Secondary / secondary special,Single / not married,House / apartment,IT staff,0,1,0,0,231,25607.01,5,3
101,41,State servant,62329.12,7.3,Incomplete higher,Single / not married,House / apartment,Managers,0,1,0,1,210,12300.64,1,2
102,33,Pensioner,27340.04,0.0,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,0,114,23744.05,5,4
103,34,Working,75045.27,3.9,Secondary / secondary special,Single / not married,House / apartment,Managers,1,2,1,1,64,0.0,3,2
104,28,Student,21412.12,15.3,Higher education,Single / not married,With parents,IT staff,0,1,0,1,65,21881.66,6,3
105,48,Pensioner,20178.17,0.0,Secondary / secondary special,Separated,House / apartment,Sales staff,0,1,1,1,194,39268.66,3,3
106,28,Pensioner,27167.1,0.0,Secondary / secondary special,Married,With parents,Medicine staff,1,3,1,1,45,21678.9,0,3
107,54,Working,46906.35,9.1,Incomplete higher,Widow,House / apartment,Drivers,1,2,1,1,141,7557.09,4,2
108,33,Working,69039.28,7.5,Incomplete higher,Separated,With parents,Medicine staff,1,3,0,1,223,28472.04,1,1
109,48,Working,51890.9,2.5,Secondary / secondary special,Separated,Municipal apartment,Core staff,1,3,1,1,124,6468.38,5,4
110,47,State servant,42468.1,3.8,Secondary / secondary special,Civil marriage,House / apartment,Drivers,0,2,1,0,131,20473.74,2,3
111,52,Commercial associate,55802.53,10.0,Higher education,Single / not married,Rented apartment,Sales staff,0,2,0,0,106,41638.07,4,3
112,58,Working,44203.73,7.6,Secondary / secondary special,Civil marriage,House / apartment,IT staff,0,1,0,1,60,7739.58,2,2
113,48,Working,65547.33,15.4,Lower secondary,Separated,Rented apartment,Core staff,0,2,1,0,62,20830.0,1,3
114,62,Commercial associate,60077.81,6.9,Secondary / secondary special,Widow,House / apartment,Core staff,0,2,1,1,101,38754.21,6,3
115,33,Working,38778.79,7.7,Secondary / secondary special,Separated,Municipal apartment,Core staff,0,1,1,1,110,26500.36,1,3
116,57,State servant,32096.9,3.5,Incomplete higher,Widow,House / apartment,Medicine staff,0,1,1,1,7,23254.25,6,3
117,37,Pensioner,22573.1,0.0,Higher education,Civil marriage,House / apartment,Medicine staff,0,1,1,1,201,0.0,5,2
118,51,Pensioner,14259.46,0.0,Lower secondary,Civil marriage,House / apartment,Laborers,0,1,1,1,0,3140.12,3,4
119,45,Working,33181.59,6.2,Secondary / secondary special,Separated,House / apartment,Sales staff,0,1,1,1,55,25097.78,3,3
120,65,Commercial associate,91466.83,7.9,Higher education,Separated,With parents,Drivers,0,2,0,1,82,10977.28,3,2
121,34,Commercial associate,55661.42,6.7,Secondary / secondary special,Single / not married,With parents,Medicine staff,0,1,0,1,224,8762.12,3,1
122,46,Commercial associate,74792.65,5.5,Higher education,Civil marriage,House / apartment,Sales staff,0,2,1,1,169,28813.81,4,3
123,29,Working,8000.0,5.1,Secondary / secondary special,Civil marriage,With parents,IT staff,0,2,0,1,38,22633.5,0,3
124,52,Working,53950.9,5.6,Higher education,Separated,House / apartment,IT staff,0,2,1,0,175,4831.19,0,2
125,22,Working,42458.69,2.8,Higher education,Single / not married,Rented apartment,Drivers,0,2,1,1,119,23833.07,5,3
126,41,Commercial associate,49889.76,6.6,Secondary / secondary special,Married,House / apartment,Accountants,0,1,1,1,1,3149.09,3,3
127,21,Working,47850.12,3.5,Secondary / secondary special,Widow,House / apartment,Laborers,1,2,0,1,99,0.0,6,3
128,37,Working,37190.75,3.9,Higher education,Single / not married,House / apartment,Managers,0,2,1,1,163,18462.68,0,3
129,44,Working,11548.97,2.6,Incomplete higher,Married,House / apartment,IT staff,0,2,0,1,117,0.0,0,3
130,37,Commercial associate,79367.21,23.2,Higher education,Single / not married,Rented apartment,Core staff,0,1,0,0,182,0.0,1,2
131,39,Working,48827.53,6.4,Secondary / secondary special,Widow,Municipal apartment,Drivers,0,2,1,1,237,2363.01,6,2
132,28,State servant,35604.81,2.2,Secondary / secondary special,Married,House / apartment,IT staff,1,3,0,1,55,16556.08,5,4
133,56,Commercial associate,39710.11,6.0,Higher education,Separated,House / apartment,Drivers,0,1,1,1,139,23993.35,3,1
134,60,Working,21849.74,10.7,Lower secondary,Civil marriage,House / apartment,Medicine staff,2,3,0,1,36,11029.67,4,3
135,43,Commercial associate,64701.75,6.6,Secondary / secondary special,Separated,With parents,IT staff,0,2,1,0,96,81.85,2,3
136,23,Working,70411.7,5.4,Higher education,Separated,House / apartment,Laborers,1,2,0,1,169,1006.98,3,3
137,24,Student,16066.62,3.3,Secondary / secondary special,Single / not married,Rented apartment,Drivers,0,2,1,0,114,0.0,2,3
138,54,Commercial associate,30962.01,6.6,Secondary / secondary special,Single / not married,With parents,Accountants,0,2,1,1,136,23109.75,6,4
139,66,Pensioner,30206.14,0.0,Higher education,Separated,House / apartment,Accountants,0,2,1,1,115,3667.59,6,4
140,63,Working,44159.85,8.7,Higher education,Widow,Municipal apartment,Drivers,0,1,0,1,95,17205.18,4,3
141,40,Commercial associate,78144.92,6.2,Secondary / secondary special,Widow,House / apartment,Sales staff,0,2,0,0,178,0.0,1,3
142,45,Commercial associate,72741.4,6.2,Secondary / secondary special,Single / not married,With parents,Managers,1,3,0,1,138,29720.35,2,3
143,28,State servant,8000.0,11.8,Higher education,Single / not married,House / apartment,Managers,1,2,1,0,65,14314.23,3,3
144,24,Commercial associate,71450.09,11.1,Secondary / secondary special,Widow,House / apartment,Laborers,0,1,1,1,194,0.0,5,1
145,58,Commercial associate,38926.93,4.9,Higher education,Separated,House / apartment,IT staff,0,2,1,1,179,7196.49,7,2
146,41,Working,22607.77,14.6,Higher education,Married,With parents,Accountants,1,3,0,0,22,16641.59,2,3
147,45,Working,42031.54,2.2,Secondary / secondary special,Separated,House / apartment,Managers,1,3,0,1,153,3823.7,6,2
148,37,Commercial associate,68630.39,6.4,Higher education,Single / not married,Rented apartment,Core staff,1,3,0,1,122,18805.54,0,2
149,36,Working,19158.43,6.8,Higher education,Married,House / apartment,Drivers,1,2,1,1,150,29782.54,1,4
150,69,Working,56097.08,3.2,Higher education,Married,House / apartment,IT staff,1,2,1,1,66,25409.79,7,3
151,60,Pensioner,35480.72,0.0,Secondary / secondary special,Single / not married,With parents,Medicine staff,0,1,0,1,19,14138.16,2,4
152,54,State servant,40657.67,3.2,Secondary / secondary special,Single / not married,House / apartment,Managers,0,1,1,0,68,31572.74,6,4
153,40,Working,31334.93,9.6,Secondary / secondary special,Separated,House / apartment,Sales staff,1,2,1,0,124,16767.75,2,3
154,56,Commercial associate,39433.06,9.8,Secondary / secondary special,Married,House / apartment,Drivers,0,2,1,0,185,12902.15,4,2
155,37,Working,61158.43,8.3,Secondary / secondary special,Married,House / apartment,Drivers,0,2,1,0,78,13218.97,0,2
156,46,Pensioner,13190.02,0.0,Higher education,Separated,House / apartment,Managers,0,1,1,0,155,15468.51,0,3
157,28,Working,61765.41,9.8,Higher education,Civil marriage,House / apartment,IT staff,2,4,1,0,165,19629.66,7,2
158,55,Pensioner,26381.05,0.0,Higher education,Single / not married,With parents,Accountants,2,3,1,1,213,3673.25,3,3
159,23,Pensioner,27060.82,0.0,Incomplete higher,Married,Rented apartment,IT staff,0,1,0,0,183,28003.65,6,4
160,56,Pensioner,11260.74,0.0,Higher education,Married,House / apartment,Laborers,1,2,0,0,87,29972.31,4,5
161,50,Working,42689.21,4.4,Higher education,Single / not married,Rented apartment,Accountants,1,2,1,1,107,44059.03,5,3
162,24,State servant,48590.2,8.1,Secondary / secondary special,Single / not married,House / apartment,Managers,0,1,0,0,121,0.0,2,2
163,45,Working,23951.54,9.0,Secondary / secondary special,Civil marriage,House / apartment,IT staff,0,1,0,0,77,14821.45,7,4
164,31,Working,52853.51,3.4,Incomplete higher,Separated,House / apartment,Drivers,0,1,1,1,34,4796.29,1,3
165,44,Commercial associate,61869.26,5.8,Secondary / secondary special,Married,House / apartment,Drivers,0,1,0,1,134,22202.34,5,2
166,21,Working,34860.85,8.8,Higher education,Civil marriage,House / apartment,Drivers,2,3,1,0,204,29103.78,4,3
167,56,Pensioner,36375.8,0.0,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,2,1,1,113,14923.95,4,2
168,45,Pensioner,8000.0,0.0,Secondary / secondary special,Married,House / apartment,Drivers,1,2,0,0,148,10787.59,7,3
169,38,Working,50460.22,8.9,Lower secondary,Civil marriage,House / apartment,Medicine staff,0,2,0,1,153,8706.64,0,3
170,63,Student,23502.03,7.3,Secondary / secondary special,Married,House / apartment,Laborers,1,3,0,0,218,12210.47,2,3
171,52,Working,67679.1,7.6,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,2,0,1,138,19052.06,6,3
172,50,Commercial associate,68185.94,5.4,Higher education,Separated,House / apartment,Laborers,1,2,0,1,151,18974.92,6,3
173,28,Working,40248.53,8.5,Lower secondary,Single / not married,With parents,Sales staff,0,1,1,0,219,32512.37,7,3
174,45,State servant,31098.76,2.4,Secondary / secondary special,Separated,House / apartment,Core staff,0,1,1,1,32,12655.03,3,3
175,55,Working,40228.92,3.2,Higher education,Married,House / apartment,Drivers,0,1,0,1,36,25563.19,3,3
176,66,Working,53564.96,7.5,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,2,1,0,135,3988.08,2,3
177,50,Working,32285.91,8.5,Secondary / secondary special,Widow,With parents,Laborers,1,2,1,1,206,0.0,3,1
178,29,Student,18976.48,10.8,Higher education,Civil marriage,With parents,Core staff,2,4,0,0,227,26794.19,6,2
179,54,State servant,69864.25,13.4,Secondary / secondary special,Widow,Rented apartment,Accountants,0,2,1,0,98,19715.28,2,2
180,24,Pensioner,27393.54,0.0,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,0,1,40,8517.85,0,3
181,36,State servant,21178.47,2.7,Higher education,Married,With parents,Drivers,1,2,1,1,168,3819.31,7,4
182,65,State servant,21173.57,9.5,Lower secondary,Civil marriage,House / apartment,Drivers,0,1,0,1,78,9169.68,6,3
183,60,Commercial associate,76307.88,4.3,Incomplete higher,Single / not married,Rented apartment,Managers,1,2,1,1,45,17496.7,1,3
184,65,Working,44059.0,5.5,Higher education,Separated,Rented apartment,Laborers,0,1,1,1,154,16776.39,3,3
185,38,Pensioner,36592.94,0.0,Secondary / secondary special,Single / not married,House / apartment,Accountants,0,1,1,1,196,0.0,6,2
186,54,Pensioner,22770.38,0.0,Incomplete higher,Separated,Municipal apartment,Sales staff,0,2,1,0,136,0.0,0,2
187,55,Working,58082.32,8.4,Secondary / secondary special,Married,House / apartment,Drivers,1,3,0,1,80,16565.14,1,2
188,33,Working,42506.79,3.3,Lower secondary,Single / not married,Municipal apartment,IT staff,0,2,1,1,43,21950.94,5,4
189,67,Pensioner,20821.46,0.0,Higher education,Single / not married,House / apartment,Laborers,1,3,0,0,222,5474.32,6,2
190,68,Working,38684.27,6.7,Secondary / secondary special,Separated,House / apartment,IT staff,0,1,1,1,38,0.0,2,3
191,26,State servant,23241.24,10.7,Secondary / secondary special,Single / not married,With parents,Laborers,0,2,0,0,155,15349.15,0,3
192,58,Working,76332.41,12.0,Higher education,Civil marriage,House / apartment,Drivers,0,1,1,1,35,0.0,6,2
193,42,Working,43481.99,4.2,Secondary / secondary special,Single / not married,Rented apartment,Laborers,1,2,1,1,119,10315.02,5,2
194,54,Pensioner,34316.24,0.0,Higher education,Separated,House / apartment,Laborers,0,2,0,1,128,22123.49,4,3
195,48,Working,36544.31,8.7,Higher education,Single / not married,House / apartment,Sales staff,0,2,1,1,198,12040.7,2,2
196,31,Working,28432.14,1.8,Higher education,Separated,House / apartment,Drivers,1,3,0,0,218,0.0,6,3
197,25,Commercial associate,55088.51,9.0,Higher education,Married,Municipal apartment,Managers,1,2,1,1,210,33072.06,5,3
198,46,State servant,55416.7,9.4,Higher education,Separated,Municipal apartment,Managers,0,1,1,0,120,15068.03,0,2
199,62,Working,36798.47,4.0,Secondary / secondary special,Separated,House / apartment,Core staff,1,2,0,0,124,17499.19,6,3
200,61,Working,31289.12,0.8,Higher education,Married,House / apartment,Drivers,0,2,1,1,98,25536.58,3,4
201,34,Pensioner,29523.55,0.0,Higher education,Married,House / apartment,Sales staff,0,2,1,1,51,12820.89,5,4
202,63,Student,17619.87,12.5,Higher education,Single / not married,House / apartment,Medicine staff,0,2,1,1,50,11694.16,4,3
203,38,Commercial associate,94499.81,12.0,Incomplete higher,Widow,Municipal apartment,Sales staff,1,2,1,0,37,29723.84,0,2
204,48,Working,50571.57,12.3,Higher education,Single / not married,Rented apartment,Drivers,0,2,0,1,212,5180.03,6,2
205,36,Working,55142.88,2.3,Secondary / secondary special,Civil marriage,With parents,Medicine staff,1,2,0,1,174,25976.19,7,3
206,46,Working,56328.58,5.9,Higher education,Civil marriage,House / apartment,Medicine staff,1,3,1,1,236,1433.86,6,1
207,46,Working,26840.01,6.7,Higher education,Single / not married,Rented apartment,Sales staff,3,5,1,0,78,6257.61,4,3
208,55,Pensioner,18559.35,0.0,Secondary / secondary special,Civil marriage,Municipal apartment,Core staff,2,4,0,0,170,18495.13,3,3
209,44,Working,27928.63,8.4,Secondary / secondary special,Married,Municipal apartment,Sales staff,1,2,0,1,8,32139.99,1,3
210,46,Commercial associate,32024.94,2.8,Secondary / secondary special,Separated,With parents,Managers,2,4,1,0,123,16768.97,2,3
211,52,Pensioner,35795.51,0.0,Secondary / secondary special,Married,House / apartment,Sales staff,0,2,1,0,96,0.0,1,3
212,41,Commercial associate,66091.05,1.3,Higher education,Civil marriage,Municipal apartment,Core staff,0,2,1,1,219,23532.84,3,2
213,46,Working,46252.06,10.1,Higher education,Single / not married,House / apartment,Sales staff,0,1,1,1,106,5468.52,5,3
214,25,Pensioner,8000.0,0.0,Incomplete higher,Civil marriage,House / apartment,Laborers,1,3,1,1,126,22596.58,5,3
215,63,Pensioner,48143.67,0.0,Higher education,Civil marriage,House / apartment,Medicine staff,0,2,1,0,209,18449.83,3,2
216,27,Pensioner,19236.13,0.0,Secondary / secondary special,Separated,With parents,Laborers,0,2,0,0,82,0.0,0,2
217,63,Working,77316.05,4.0,Secondary / secondary special,Separated,Rented apartment,Medicine staff,1,3,1,0,219,19323.02,7,3
218,58,Working,22174.45,5.0,Higher education,Single / not married,Municipal apartment,Medicine staff,0,2,1,0,44,182.17,7,3
219,67,State servant,28626.38,4.1,Higher education,Civil marriage,Municipal apartment,Medicine staff,0,2,1,0,202,31225.29,5,3
220,22,Working,10305.12,1.7,Secondary / secondary special,Single / not married,With parents,Sales staff,0,1,1,0,33,0.0,5,3
221,31,Working,50703.47,5.0,Secondary / secondary special,Single / not married,Municipal apartment,IT staff,1,2,1,0,133,13086.79,7,2
222,23,Commercial associate,36873.61,3.4,Lower secondary,Single / not married,House / apartment,Medicine staff,0,1,0,0,107,3646.2,3,2
223,41,Pensioner,17484.6,0.0,Higher education,Civil marriage,House / apartment,IT staff,1,3,1,1,28,31930.13,4,3
224,65,Student,8000.0,14.5,Incomplete higher,Separated,House / apartment,IT staff,0,1,0,1,93,0.0,4,3
225,58,Working,57243.34,2.0,Higher education,Separated,Rented apartment,Sales staff,0,1,1,1,28,42966.16,4,3
226,55,State servant,49960.49,4.9,Higher education,Married,Municipal apartment,Accountants,0,1,1,1,49,10664.8,7,2
227,62,Working,73539.53,6.4,Secondary / secondary special,Married,Rented apartment,Core staff,0,2,0,1,176,8228.39,1,1
228,21,Commercial associate,45600.16,14.5,Lower secondary,Single / not married,Municipal apartment,Medicine staff,0,2,0,1,122,24271.29,3,3
